X1FPO-X33032S;6,67;5;44,64;50
PS3AB-P34004;5,83;6;19,64;22
PS4EC-A12AE2012;2;8;22,32;25
PS4VC-12AE101;6,33;8;40,18;45
PS4MP-A12AC1048;1,672;10;10,71;12
X36MVE-X302590;3,33;3;17,86;20
X36CA-X33021;10,5;12;40,18;45
X36WP-X30083;4,58;20;22,32;25
WCRM1-I0371;8,67;12;35,71;40
WCNUK-I03634;1,92;6;17,86;20
WCNUK-I03651;1,92;6;17,86;20
X1TK-1118;8,17;4;35,71;40
