CODIGO,INGRESO/EGRESO,CANTIDAD,COSTO/U,COSTO/T
DSX8-TBR16,EGRESO,2,1.20,2.40
DSX8-CR19,EGRESO,3,6.66,19.97
DSX8-CLR20,EGRESO,4,0.71,2.84
DSX8-CR23,EGRESO,2,34.42,68.85
DSX5-HP02A,EGRESO,12,1.22,14.61
DSX5-PA03A,EGRESO,8,1.01,8.12
DSX5-APH04,EGRESO,4,1.52,6.09
DSX5-PL05,EGRESO,6,0.59,3.53
DSX5-MTA07,EGRESO,16,3.33,53.26
DSX5-MTB07,EGRESO,16,3.33,53.26
DSX5-PRR09,EGRESO,1,12.20,12.20
DSX5-CCR11,EGRESO,10,1.73,17.25
DSX5-CR13,EGRESO,3,36.09,108.26
DSX8-PA03,EGRESO,4,1.66,6.66
DSX8-APH04,EGRESO,4,1.99,7.96
DSX8-RD07,EGRESO,8,0.49,3.90
DSX8-CM08,EGRESO,6,0.85,5.11
DSX8-ER09,EGRESO,6,0.67,4.02
DSX8-MTAR10,EGRESO,4,4.00,15.99
DSX8-MTBR11,EGRESO,4,4.00,15.99
DSX8-SMR12,EGRESO,6,4.00,23.99
DSX8-CHR13,EGRESO,4,0.85,3.41
DSX8-TBR16,EGRESO,2,1.20,2.40
DSX8-CR19,EGRESO,3,6.66,19.97
DSX8-CLR20,EGRESO,4,0.71,2.84
DSX8-CR23,EGRESO,2,34.42,68.85
